unit_price,time_on_site,quantity,total,label,movie_rating
25,171.95308899999995,7,198.26,Medium,5.103738838409515
20,90.33103069,5,120.28,Low,6.357483609641907
25,150.9169021,1,51.72,Low,8.122553609720807
20,84.79690186,4,112.85,Low,6.48538767446428
25,108.0837014,1,51.17,Low,7.884009301871062
25,176.2501118,8,211.06,High,5.301939404759557
25,131.0090029,3,99.04,Low,7.444971469627138
20,142.7584066,7,150.4,Medium,5.556446558241765
20,166.9055227,3,90.59,Low,6.659279073462902
25,206.4028319,7,195.09,Medium,5.228659885928581
25,75.29023369,4,119.94,Low,9.506583142071882
20,161.35625359999997,6,130.58,Medium,5.83996837614533
25,129.373479,3,104.45,Low,7.407602330137811
20,75.59009379,3,86.97,Low,6.65609572145345
25,86.85724387,5,133.04,Low,6.197439985998628
25,143.199699,4,124.4,Low,7.086730745565409
20,157.23990790000005,3,92.91,Low,7.773777346412215
25,152.525359,4,119.11,Low,6.242990634852938
25,133.3060011,2,81.55,Low,7.934016395656942
20,136.3273209,4,107.99,Low,7.216322308233895
25,121.643362,2,79.64,Low,7.781128562499454
25,126.8040875,3,103.53,Low,8.358032238763874
20,180.8228528,8,172.14,High,5.6005765528947595
25,128.3477666,8,217.84,High,5.101407162573178
20,89.04810009,5,127.16,Low,6.409993686448536
25,139.38418080000002,7,179.66,Medium,5.484570799608243
20,77.34363671,3,90.19,Low,6.875162797970802
25,93.06188078,1,45.0,Low,7.5153437584226594
25,172.2999209,6,167.75,Medium,5.745684142780218
25,104.7653681,4,128.07,Low,6.830142602088067
25,164.0383973,9,267.33,High,4.933264803842037
25,178.7668374,3,103.09,Low,7.959955620965616
25,84.71248467,3,98.31,Low,8.7742342493927
25,159.6724842,5,138.2,Low,7.158387872021002
25,159.7519468,3,97.2,Low,7.544675752731788
25,78.36891639,5,134.86,Low,6.204776544255849
25,149.6867458,7,174.92,Medium,5.489147191415768
25,143.6772335,7,190.1,Medium,5.4172601967669465
20,123.71645759999998,1,24.65,Low,8.048333098734984
25,156.4081575,3,105.77,Low,7.392493733243439
25,123.8908095,2,73.11,Low,6.5461356971416915
25,107.9714257,1,54.41,Low,7.884072739724111
25,100.5144185,1,50.9,Low,10.0
25,103.9740923,5,144.46,Low,6.427023308325147
25,177.3928707,8,221.46,High,5.336750562656563
25,107.058728,2,71.05,Low,7.424826716965743
20,151.93466709999996,8,171.28,High,5.130583418817006
25,72.03753073,1,48.67,Low,7.7308304393735146
25,105.5707724,5,141.62,Low,9.005916776742737
20,120.8737774,2,58.52,Low,7.495324179107648
25,80.4451101,1,34.73,Low,7.322226481200503
20,98.86620269,3,88.34,Low,7.218909781953735
25,93.03424625,5,146.06,Low,6.28826656244387
25,136.9388996,4,121.78,Low,7.150429594017634
20,120.8364713,4,108.15,Low,7.001134662456334
20,121.910358,4,111.47,Low,7.2094126413535005
25,142.6361408,2,69.28,Low,7.848455714405835
25,132.4814359,5,145.85,Low,6.771633623606758
25,163.8113287,4,121.73,Low,6.146180523190258
20,182.63111630000003,10,212.82,High,4.8621412516265625
25,119.669638,2,74.54,Low,7.764662569480571
20,225.3804186,8,170.81,High,5.072048518917335
25,156.3860207,3,105.1,Low,7.357369295938776
25,160.7008056,3,103.65,Low,7.659981837277679
20,117.9272604,4,110.55,Low,8.544012311110329
25,161.7612312,5,136.64,Low,7.247626742979807
20,160.6670217,6,130.64,Medium,5.823376321928056
25,148.7991031,5,134.13,Low,6.026302805944182
20,209.9418385,7,152.16,Medium,6.028614772568898
25,124.4247696,6,167.35,Medium,6.213291180105327
25,155.02956980000005,5,137.39,Low,6.857052525094464
25,130.0147382,5,142.01,Low,6.767076028343109
25,156.46373530000002,4,121.11,Low,6.177568859950776
25,141.7910195,7,181.49,Medium,5.325014843844664
25,158.8364435,7,196.92,Medium,5.411725713381538
20,140.46592859999998,7,152.88,Medium,5.329392582901709
20,163.85005,3,90.94,Low,7.8095820630931865
25,107.52036979999998,4,117.96,Low,5.919285170055871
20,115.9297033,5,118.1,Low,5.820167092617113
25,190.0460612,6,159.33,Medium,5.221985676297367
25,62.97900425,3,104.56,Low,6.830472433593842
25,108.0523373,3,101.68,Low,7.22362138921015
20,131.77523090000003,7,147.81,Medium,5.389648845859738
25,144.02639150000005,9,268.82,High,5.52697909756905
25,165.4991782,6,166.99,Medium,6.523151058846719
25,179.1693888,5,138.28,Low,7.234915749069205
25,114.3586568,2,67.53,Low,7.598920526920699
25,122.1799937,2,76.74,Low,7.650086224836738
20,66.56287111,3,87.28,Low,6.861539930418128
25,64.49990908,1,41.24,Low,7.304613854888373
25,131.0896667,7,193.73,Medium,5.3841637099506
20,132.3384457,8,173.1,High,4.876265868612342
