review,sentiment
"""Avengers: Endgame"" is about memories, nostalgia and tons of fan-service moments. This is a movie that understands its audience and fans, trying to give each character's story closure without forgetting to provide valuable entertainment for the whole crowd. It also might be a tad too cheesy for some people's taste, particularly when there's a comedic relief scene.My biggest concern coming into this movie was the insertion of bland and uninspired jokes that plagued my overall solid experience in ""Infinity War"". This film was an improvement in that regard but it isn't without its cringe-inducing moments. Things like the ""Fortnite"" scene (and more than that I won't say) just made me roll my eyes. It's unbelievable how they manage to overkill it with these comedic scenes that are so painfully unnecessary and do nothing to advance the plot. I understand that you're trying to make your audience have a good time and all, but this is just unbearable.Other than that, the comedy - I thought - worked just nicely for the most part. The jokes that existed didn't ruin the tension.The characters were very central in this movie. Some characters shined; others not so much. I didn't like ""Captain Marvel"" and I certainly don't like the titular character, so I was grateful that she was underused in this movie. Everytime she's on screen and she smiles at the camera, it feels as though the actress is trying to show charisma, but there's none whatsoever. Not that the actress is awful - it's simply that she is not as interesting as the writers are portraying her to be. I know some critics enjoyed Chris Hemsworth's performance and the character, but it's sad to see that the character is reduced to a comedic relief (again).The movie also boasts an impressive budget, with so many set-pieces and computer-generated effects to be observed. This element of the movie provided the writers with so many angles to explore the story. While ""Avengers: Endgame"" is three hours long, the narrative is entertaining enough to overcome the more stale sequences. The movie never feels dull and it keeps you in the edge of your seat. I had a fun time watching it.7/10.",0
"""Avengers: Endgame"" is an excellent commercial movie,Marvel spent 10 years to prepare a wonderful show.Straightforward stories with a spectacular effects is good for every audiences.8.0 Great",1
"""Avengers: Endgame"" is nothing short of a spectacle that serves as a poignant and deserving conclusion to the legendary  ""Avengers"" saga that defined a generation, not unlike ""Return of the Jedi"".",1
"""Avengers: Endgame"" is probably one of Marvel's best movies yet. It starts out with Tony Stark (Iron Man) and Nebula stranded in space. He sends out a distress call, and Captain Marvel (Who, I admit, is too overpowered) saves them both. They soon return to Earth, where the remaining Avengers, are there. They later find out that Thanos is using the infinity stones to destroy the tones themselves. After a little talking, Thor, who is angry since half of the universe is dead because he didn't go for the head, has enough of Thanos' voice and abruptly chops off his head. 5 years later, all the Avengers are split up and depressed. Suddenly, though, Ant Man gets released from the quantum realm by accident. He gets excited and tells the Avengers that they can do time travel since the quantum realm is a dimension that can slow or speed up time. He eventually gets all  the Avengers to get the Avengers to come except one. Thor. They travel to New Asgard and find that his home is invaded by a fat, drunk man, who is Thor himself. They eventually convince him to join them by saying ""there's wine on the ship."" Anyways, they fired up the time portal, and off they went. They all succeeded in getting all the stones back, except for Nebula's team. She get's spotted by the 2012 Thanos, Gamora, and Nebula herself from the past. Thanos finds out his future and launches an attack on the Avengers, who have all 6 infinity stones. Eventually, the Avengers snap before Thanos comes. It takes a while, but eventually, Thanos comes. Gamora has small talk with Nebula from the future, and Nebula tells everthing that has happened between 2012 through present day. She stops the Nebula from 2012, who has a desire to impress Thanos, and shoot her. Thanos brings an army of soldiers and ships, who have many more monsters inside, but then all the Avengers that have been snapped away by Thanos in INFINITY WAR come back from the Quantum Realm. They have an epic fight, and the makeshift infinity Gauntlet falls from the hand of Thanos. it becomes like a football game after Peter Parker picks it up and plays keep away. The movie comes to a climatic end when Tony Stark gets the gauntlet and snaps away thanos and his army, which kills him. Then, after Tony's funeral, Captain America puts the stones away. When comes back, he is very old, since while in the quantum realm, he met the love of his life.Overall, this was a really good movie with a lot of juicy details and battles, using the topic of time travel, and having the same old general humor that the Marvel characters have.",1
"(RottenTomatoes)- They delete my reviews frequently and the ratings for movies are not as accurate. There time was good, but MetaCritic's time is now. Thank you MetaCritic for not denying people freedom of speech and being corrupt. The 3 hours was unnecessary. First hour is filled with bad jokes and lines that sound like they were written by 5 year old. They spend time on things that don't matter. We want to see Iron man struggle in creating the time machine, we want to see Captain marvel searching to find Iron-man, we want to see Ant-man being abandoned in the void. We don't want to see people eating with hulk at a dinner talking about how they shouldn't give up hope and that the time machine idea is good. Like, seriously way too much time in convincing people to do things that they shouldn't need convincing of or we DID NOT NEED TO SEE. Then Captain america ruined the whole time theory they set up. If he went back in time and married her, then that means there were 2 captain Americas and he somehow stayed in hiding never got recognized. But then also, in a previous movie he banged her child, so presumably that means either she was never born because he married her. OR perhaps that means Captain america always was with her and then that means he **** his own daughter. But still that would mean that there should currently be one old Captain america and a young one. But we only see the old one. There should be two. And the shield was also supposed to go to Bucky.    This project took years and it is just barely not ****. They made the first one good, so they didn't need to try on this one I guess.    The last movie felt like adults wrote the script, but this one seems like it was written by a girl in 8th grade.",-1
"....a masterpiece. What was created here with phase 1-3 is simply film history (Spiderman Far from Home then brings phase 3 to a final conclusion). With part 1 and 2 (Infinity War and Endgame) the crown of the Marvel films is secured and I can only be grateful for this visual journey.Endgame in particular is a rollercoaster of emotions and brilliantly staged. Exactly the right film for fans and everyone else will get their entertainment costs, because boredom is not to be found in these 3 hours.All in all, a snap of the fingers of perfection.",1
"11 years and 20+ movies and it all builds up to a meh of a movie.It was average. The good parts were good, the bad parts were really, really badJokes were excessive in what should have been a dark film.Ant-man coming back after 5 years shows Marvel Studios don't even care about their own continuity. If 5 years in real life is only 5 hours in the Quantum Realm why was Janet old in Ant-man and the Wasp? People still mock the Martha scene from BvS but let's be honest, the ""Cap freezes up and stops fighting when someone mentions Bucky"" nonsense is way worse than the Martha scene. It's used AGAIN in this one. It's ridiculous.They borrow from Dragon Ball Z for how time travel works, that way they can mess with time with no repercussions.Widow's death was emotional manipulation, and ultimately felt forgettable after the fact. Tony's death was the only really good part of the movie because it felt like the right way to end it, especially knowing how the MCu started with Tony being a selfish playboy.Steve somehow can go back in time and live out his life and be old in the present, with no changes to the current timeline? It's so stupid. And he gives the Shield to Falcon? Ugh. They really are going full SJW with future movies, aren't they? Forgettable movie. It was average at best and as usual the critics show how biased they truly are where they call this movie ""Once in a generation"" when it's just another MCU movie that is meh at best. Rotten Tomatoes also shows the bias used to protect the scores of MCU movies (not just them deleting negative audience ratings for Captain Marvel but legit critic score they manipulate). One critic gave the film a 2/5 but their review was labelled as ""Fresh"". Mind you, a 2.5 for BvS was considered ""Rotten"". Amazing how that works, isn't it? How a 2/5 is Fresh but a higher rating is somehow rotten for a non-Disney comic movie? But there's no bias (sarcasm)They further ruin Hulk and Thor, and seeing Hulk dab had me ready to walk out of the theater. I gave this a higher score intially but remembering the dab brought my score down from a 4 to a 3Seeing Captain Marvel easily destroying a full powered Thanos and shrugging off his blow like it was nothing shows how big of a Mary Sue she's really going to be in future films. And I honestly believe before hey did a bunch of reshoots a few months ago she beat Thanos and saved the day, and after seeing reaction to her character and Larson's comments against a large chunk of their potential audience they changed it to Tony stopping Thanos with the stones to keep from alienating more of their fans with that shoehorned in character.This should have been the end of the MCU. But the franchise prints money because of people like the guy who made headlines for seeing Captain Marvel 116 times and the guy last year who saw Infinity War over 100 times in theaters. So bad to average movies will continue to dominate box offices, prompting other studios to follow suit, meaning the days of good filmmaking will continue to fade into memory",-1
"22 films and 11 years later, Avengers: Endgame is the end of an incredible stage in film within the blockbuster branch.You can hate it but definitely you must recognize that what Marvel Studios built with this franchise is something that will hardly be seen again in this industry.Superhero films existed before Iron Man and the MCU but the ambition of this project completely surpassed everything else.That the audience that perhaps didn’t care about comic books at all was so involved with this saga and followed it until the end says a lot. The tears that the people next to me spilled in the theater only confirmed it.Like Infinity War this film may not be able to sustain itself without the whole concept but as I said at the time about that film I come to repeat here as well. This isn't about that.If after 22 interlaced films you can not understand it, what's the point of saying more about it?Its achievements are numerous. Even with three hours of duration the film never feels heavy, perhaps a little overwhelming for the amount of things happening at the same time but the narrative hardly falls into bumps that make it feel slow or boring.The story is emotional enough especially in the end, even when they reach levels never seen before of fan service, everything feels in its place and I think the most devoted fans will be satisfied.The final battle is spectacular, finally I felt as if I were watching a comic book taking life from the pages to the big screen because the scale and the number of characters make it the most epic battle of the whole saga.But even in spite of its achievements it also has its faults.Despite the lenght you can feel the holes in the story. The visual effects vary too much because in some points it looks pretty good and in others it gets to look very bad. Even the CGI varies in quality because the work is so detailed in Thanos but so simple in Hulk.Even the soundtrack in spite of the quality is not as emotive as that of Infinity War.And for the same reason due to the size of the plot, many characters end up reduced to very small moments in screen.And of the three characters that closed their circle in this film, I must say that the ending of Black Widow was quite bad compared to that of Iron Man and Captain America.Avengers: Endgame closes a cycle and closes it with solidity in a very entertaining show.It's the film that was expected to be and as I said closes a monumental chapter in this franchise in terms of narrative and characters and at the same time laying the foundations for what is to come.Will a new saga of 10 years and more films follow? I don't know, and part of me doubts it, but no matter what happens in the coming years, the achievements of this franchise will undoubtedly be unforgettable for a lot of people.",1
"22 movie has led to this garbage. Thank you MARVEL, THANK YOU SO MUCH YOU FKING IDIOTS!I have Spider-Man tattoo in my whole arm, you know i'm a fanboy but this. this is just pure garbage movie.First of all, it's not even half of Infinity War.This movie is basically most expensive fan fiction movie of all time. All of the movie is just Star-Lord's Thanos slapping cheap. All of the motives, events everything is that much ridiculous.1) You fcking shove Captain Marvel into MCU before this. She is absent from movie. What the hell you forced her to MCU at this point. You don't need her.2)Everyone waiting for Hulk's revenge, but oh no! He is peacefull and powerless. It's not the same Hulk, he is shorter, smaller, and not powerfull as old one.3) You make Thor OP at IW, but oh no! He is fcking a loser now. He can't even hit a punch on Thanos. Everyone waiting for Thor but you wasted him. He killed Thanos with full Gauntlet but now he cant even hit stoneless Thanos. Bravo Marvel, f*cking Bravo.4)Some things should stay in comic pages. Comic has lots of ridiculous things. Captain America and Mjolnir is one of them. It's not working like that, that hammer won't go who ever calling it. You can't stay consistent with your rules. Also that idiot is not worthy, after everything happened Civil War and Infinity War is because of him. He is the biggest douchebag in MCU. Worthless bastard.5)Ant-Man's come back... All of the universe saved because of a rat. If there isn't a rat there all of the universe is just fked up...6)14 million possibilities and 1 success. It is really this one? If you saying this, i will look for all of the possibilities. You should make a ending with no other possiblities. But I can assure you the is a possibility there is Thor is not an idiot or Captain Marvel is actually usefull. Or Doctor Strange is just fking do something other than holding water... Marvel, you are just bunch of idiots you know. Hell, there should be a timeline that Thor hits Thanos' head or Ironman tooks stones and just runs, there is no need to use those but they should kill him you know, so he is used the stones... Captain Marvel can destroy that thrash can gauntlet with power, why the hell she didn't do that? Also why the fk Thanos did go to Nidavellir for Gauntlet? Stark can do this with Aluminium not even vibranium you know? And Hulk cried 5 hourse after stones but Ironman just talked with no problem... This movie is just **** garbage.",-1
3 **** hours..............................................................................................................................................................................................................................................,0
