review,sentiment
"This movie had it all. I don't think it is any better than Infinity War but I don't think the two should even be compared. It's really a 7 hour movie, or a 7-episode final season of a TV series. What a way to end it.",1
"One of the best movies in its genre of the last 20 years. Your anticipation to go kick the bad guy's ass is skillfully levitated to an unforeseen height. Funny, thoughtful with only some time travelling inconsistencies that bothered me. Besides that, nearly perfect.",1
"I was ready for anything walking into Endgame, and while the towering 3+ hour run time was daunting, and the seemingly insurmountable pressure to outperform Infinity War, I had reservations. The cold-open to the film impressed me. Normally, there is bravado, fireworks, showcasing; this was the Russo's cherry on top of the 11 years of cakes after all. The opening scene set the tone and reminded me of what was lost, and followed up with the plain text title card of the movie. I thought it was immaculate, much like a lot of the ""moments"" in this movie. One thing that cannot be overlooked is that this is very much a finale. It's tying up all the loose ends that need to get sealed off, and it's non-traditional in the sense that it is essentially a victory lap for most of these characters. So in that sense, this movie is not so much a ""movie"", rather than a series of ""moments"", and I'll explain a bit on that. Some of the most impactful scenes resonated with me even several hours after the movie ended. When Cap confidently picked up Mjolnir and joined Thor in beating the crap out of Thanos with his half-broken shield - the audience collectively and audibly gasped. When a broken Thor tearfully stumbled over himself trying to save his mother, and she (accepting her fate) tells him that it's not for her to know. Piper tearfully telling Tony that he gets to rest, after the life from him slips away, following his heroic Thanos-dusting snap from his own gauntlet. The theater was so silent and the emotion was visceral. I could go on and on, but there are simply so many good moments in this film, it's impossible to detail them all without spending 3+ hours talking about them. The ending of the movie was predictable, but very much appropriate. It was safe, and the perfect end for Tony and Cap. Though maybe not as gravitas impactful as some of the other moments in the movie, it did remind me something that the entire series of MCU movies has preached to us: It's the journey that matters, not the destination. Endgame was a symphony of incredible moments, each hero stood out and showed they belonged - and in a cast this large, an incredible feat! I won't be rushing back to the theater to watch this again, not because the movie was bad - but because it was so completely satisfying. Like a traditional home-cooked Thanksgiving dinner, this movie left me without room for dessert, and I think that is perfectly fine. The only criticism the film is guilty of is shoe-horning social narratives in. I would have preferred to see a more organic relationship develop between the female heroes, instead of just throwing in a gratuitous ""she's got help"" and then arbitrarily grouping literally every single female cast member together who have seemingly not even met each other before. It felt extremely cliche, extremely trite and out of place in a movie that went out of it's way to explain a lot of complexities and give solid reasoning behind all of it's other decisions. The only other faux pas I can flag on this film is removing the emotion from the final Thanos fight. Plucking a Thanos who hasn't even found a single Infinity stone from history and making him face our heroes who have literally been morally and physically beaten by him, felt lackluster. Seeing Scarlet Witch just pouring out raw emotion and to have it met with ""I don't even know who you are!"" while comedic, fell flat with me. Thanos only realized that he ""won"", by getting all of the stones and snapping away half of the universe. He had no knowledge of the sacrifice or pain he personally inflicted on every single person in this movie and that was one moment that we will never get to see. All in all, I thoroughly enjoyed the ride and I'm happy to see a true end to this fantastic series. It'll be difficult to rise to the heights of this again, and it's likely not something we will see again for another couple decades. So for now, enjoy the journey.",1
"This movie is a cinematic masterpiece. Right from the start till the very end, it delivers, in every possible aspect of brilliant filming. Its ability to pull at your heart string is only surpassed by the incredible action and breath taking visual effects. This has to be the absolute best Superhero movie ever made. By a significant margin.",1
"Thought this movie was good but a little bit more boring than its predecessor. Some of the ideas were a little wonky and convoluted. The acting was good though, especially from Chris Hemsworth and Robert Downey Jr. The movie made me cry quite a bit as it was truly the end of an era. Iron Man’s death was brutal, and Tom Holland’s acting during that point made me actually cry. The action and comedy were as good as any Marvel movie. It was a fine ending to a 21 movie long era and the result, while not perfect, checked most of the boxes and was satisfying.",1
Best Movie watched I liked the fight scene and stuff but have you consider ever eating cheese like have you ever wonder how cheese are made? I always wonder.......,1
Where have I been all this time?! This may be the best movie that I have ever seen!!!,1
The Best super-heroic movie EVER! The MOST Sentimental movie MCU has ever revealed. It's about 3 hours but you just get lost in the movie and suddenly find out the movie has finished. It makes you laugh and then brings your tears out and leaves you confused and stunned. EXCELLENT!!!,1
"It can feel a little odd to watch a movie for three hours without missing out on some critical details that can affect the movie in many different ways, but that would honestly be a lie if I would say that just to bring this film down. Marvel has built its world filled with iconic superheroes that we adore starting with Iron Man back in 2008 and now twenty-one films later, we're now seeing what is literally going to be the most epic final battle in the entire Marvel Cinematic Universe. Avengers: Endgame does not disappoint me when it came to telling its story during the aftermath of Avengers: Infinity War and it shouldn't do the same thing to you too. You can easily tell that this is the most carefully detailed Marvel Cinematic Universe movie out of the rest of them and they put their best efforts of care into it resulting in a movie that feels more than just your average superhero movie. Definitely give this one a watch if you want to find a movie that feels more like an adventure than just a movie because you're basically not going to regret the ride.",1
Best Marvel Film Ever! Everyone who thinks that movie is boring doesn't understand the value of the movie,1
